"source","participant_id","group","word_1","response","correct","response_type","confidence","knowledge","translation","translation_id","word_2","sampa_1","sampa_2","ipa_1","ipa_2","freq_zipf_2","lv","neigh_n","neigh_n_h","avg_sim","avg_sim_h","freq_zipf_2_std","neigh_n_std","neigh_n_h_std","avg_sim_std","avg_sim_h_std","lv_std"
"Questionnaire","5a2461e...","spa-ENG","bici","busy",FALSE,"wrong",0,FALSE,"bici /'bi.<U+03B8>i/ - bike /ba<U+026A>k/",23,"bike","biTi","baIk","'bi.<U+03B8>i","ba<U+026A>k",5.96972590730521,0.25,3,0,0.0433840981187321,0.0472577494459515,0.160750211225164,0.317458910240112,-0.277005196229114,-0.778788850019565,-0.363373688405705,0.348663254186358
"Questionnaire","5a2461e...","spa-ENG","boca","table",FALSE,"wrong",0,FALSE,"boca /bo.ka/ - mouth /ma<U+028A><U+03B8>/",24,"mouth","boka","maUT","bo.ka","ma<U+028A><U+03B8>",6.57547094538827,0,0,0,0.0542451071521719,0.0476804879148629,1.18802923118718,-0.340353170253572,-0.277005196229114,-0.300082764528909,-0.344283225579861,-0.839342869585518
"Questionnaire","5a2461e...","spa-ENG","esponja","spanish",FALSE,"wrong",0,FALSE,"esponja /es'po<U+014B>.xa/ - sponge /sp<U+028C>n<U+02A4>/",91,"sponge","espoNxa","spVndZ","es'po<U+014B>.xa","sp<U+028C>n<U+02A4>",5.3831784354086,0.285714285714286,0,0,0.0404711964288709,0.0408102212531092,-0.83397178269819,-0.340353170253572,-0.277005196229114,-0.907176899516559,-0.654537862796988,0.518378414725197
"Questionnaire","5a2461e...","spa-ENG","brazo","lasso",FALSE,"wrong",0,FALSE,"brazo /'b<U+027E>a.<U+03B8>o/ - arm /<U+0251><U+02D0>m/",42,"arm","b4aTo","Arm","'b<U+027E>a.<U+03B8>o","<U+0251><U+02D0>m",6.37237746277094,0,0,0,0.0278875679039263,0.0289544912377282,0.843604331820212,-0.340353170253572,-0.277005196229114,-1.46180856715425,-1.18993123192821,-0.839342869585518
"Questionnaire","5a2461e...","spa-ENG","cepillo","spy",FALSE,"wrong",0,FALSE,"cepillo /<U+03B8>e'pi.<U+028E>o/ - brush /br<U+028C><U+0283>/",62,"brush","TepiLo","br0VS","<U+03B8>e'pi.<U+028E>o","br<U+028C><U+0283>",5.7076895269221,0,0,0,0.0321698094872545,0.0306699737099124,-0.283635560198108,-0.340353170253572,-0.277005196229114,-1.27306596513921,-1.1124616927875,-0.839342869585518
"Questionnaire","5a2461e...","spa-ENG","cuchara","coach",FALSE,"wrong",0,FALSE,"cuchara /ku't<U+0361><U+0283>a.<U+027E>a/ - spoon /spu<U+02D0>n/",82,"spoon","kutSa4a","spun","ku't<U+0361><U+0283>a.<U+027E>a","spu<U+02D0>n",5.43798044956649,0,0,0,0.0491938111018262,0.047797186295188,-0.741033407875966,-0.340353170253572,-0.277005196229114,-0.522721945793781,-0.339013238920807,-0.839342869585518
"Questionnaire","5a2461e...","spa-ENG","dedo","dare",FALSE,"wrong",0,FALSE,"dedo /'de.ðo/ - finger /'f<U+026A><U+014B>g<U+0259>/",83,"finger","deDo","fINg56","'de.ðo","'f<U+026A><U+014B>g<U+0259>",6.12099318782323,0,0,0,0.04206652338546,0.0376820597560298,0.417283395838006,-0.340353170253572,-0.277005196229114,-0.836861819203563,-0.795802628520833,-0.839342869585518
"Questionnaire","5a2461e...","spa-ENG","gallina","party",FALSE,"wrong",0,FALSE,"gallina /g<U+0259>'<U+028E>i.na/ - cock /k<U+0252>k/",112,"cock","gaLina","kAk","g<U+0259>'<U+028E>i.na","k<U+0252>k",5.61257730807368,0,0,0,0.0456120699500683,0.0480266480563076,-0.444935745626327,-0.340353170253572,-0.277005196229114,-0.680589532564011,-0.328650966398303,-0.839342869585518
"Questionnaire","5a2461e...","spa-ENG","gorrion","boy",FALSE,"wrong",0,FALSE,"gorrión /go'rjon/ - sparrow /'spær<U+0259><U+028A>/",125,"sparrow","gorrion","sp1r0oU","go'rjon","'spær<U+0259><U+028A>",NA,0.285714285714286,0,0,0.0705372136824848,NA,NA,-0.340353170253572,-0.277005196229114,0.418002499695638,NA,0.518378414725197
"Questionnaire","5a2461e...","spa-ENG","gorro","man",FALSE,"wrong",0,FALSE,"gorro /'go.ro/ - hat /hæt/",126,"hat","gorro","h1t","'go.ro","hæt",6.36409739081676,0,0,0,0.0494740003108137,0.0434396626293014,0.829562212335045,-0.340353170253572,-0.277005196229114,-0.510372422925497,-0.535794818251761,-0.839342869585518
